LSOA11CD,LSOA11NM,Mean_Price
E01003266,Lewisham 031C,184137.50
E01000326,Bexley 014B,184568.58
E01000337,Bexley 003D,184585.72
E01004169,Sutton 004C,184627.80
E01033591,Redbridge 030I,184652.37
E01000977,Croydon 022C,184660.81
E01001192,Croydon 008E,184831.60
E01001729,Hackney 019A,184946.36
E01001176,Croydon 011C,185045.10
E01001154,Croydon 006E,185152.24
E01004535,Wandsworth 007A,185170.00
E01001055,Croydon 032B,185180.09
E01001700,Greenwich 011D,185187.31
E01002310,Havering 006B,185303.54
E01003580,Newham 005D,185396.88
E01003604,Newham 031D,185609.50
E01001431,Enfield 033A,185642.86
E01000403,Bexley 004A,185662.50
E01000739,Bromley 014E,185687.13
E01000087,Barking and Dagenham 020B,185697.38
E01000109,Barking and Dagenham 004D,185704.76
E01001152,Croydon 005D,185724.74
E01004425,Waltham Forest 022C,185926.97
E01000990,Croydon 045A,185928.57
E01000730,Bromley 014B,185999.16
E01000998,Croydon 010A,186051.98
E01002283,Havering 002D,186133.07
E01001491,Enfield 023E,186155.42
E01000021,Barking and Dagenham 008A,186161.81
E01000615,Brent 017B,186277.78
E01003629,Newham 015E,186338.41
E01002346,Havering 030C,186350.98
E01001332,Ealing 008E,186413.69
E01003662,Redbridge 019B,186487.49
E01003983,Southwark 018A,186624.21
E01004407,Waltham Forest 013A,186996.79
E01002554,Hillingdon 022F,187108.51
E01003993,Southwark 017D,187173.39
E01000012,Barking and Dagenham 015D,187220.14
E01003354,Lewisham 026D,187316.60
E01002277,Havering 002A,187391.93
E01003351,Lewisham 026C,187398.47
E01002521,Hillingdon 016C,187592.26
E01002311,Havering 006C,187605.60
E01001462,Enfield 024C,187699.53
E01003600,Newham 021B,187733.33
E01000040,Barking and Dagenham 019A,187749.79
E01033584,Newham 034I,187833.11
E01001482,Enfield 023B,187956.63
E01001409,Enfield 005B,188000.15
E01000402,Bexley 005B,188014.85
E01003625,Newham 015A,188097.47
E01003626,Newham 015B,188097.47
E01000114,Barking and Dagenham 004E,188110.83
E01003391,Merton 014B,188174.44
E01003582,Newham 002C,188277.22
E01001673,Greenwich 006B,188281.81
E01002637,Hounslow 005C,188412.70
E01001442,Enfield 002A,188461.35
E01003630,Newham 021C,188500.00
E01002308,Havering 005C,188538.46
E01002350,Havering 016B,188582.40
E01000740,Bromley 005A,188638.74
E01002559,Hounslow 023C,188729.41
E01002251,Havering 017F,188830.36
E01002249,Havering 017D,188955.07
E01002036,Haringey 002A,189038.64
E01003561,Newham 007C,189238.10
E01003562,Newham 014A,189238.10
E01004336,Waltham Forest 026A,189277.78
E01001669,Greenwich 033A,189330.03
E01003508,Newham 031B,189378.85
E01000978,Croydon 022D,189388.80
E01033581,Newham 037G,189533.33
E01001076,Croydon 036A,189646.26
E01002330,Havering 011E,189667.71
E01032743,Ealing 010F,189775.41
E01004089,Sutton 019D,189781.91
E01001054,Croydon 030C,189825.60
E01000457,Bexley 026D,189886.98
E01003533,Newham 011A,189910.25
E01032566,Bexley 029D,189962.75
E01002370,Havering 028C,190034.20
E01002247,Havering 017B,190117.25
E01000386,Bexley 028D,190164.23
E01003590,Newham 003D,190293.82
E01002358,Havering 016E,190378.81
E01001115,Croydon 015B,190658.78
E01001324,Ealing 008B,190665.22
E01000022,Barking and Dagenham 008B,190689.20
E01001426,Enfield 030B,190777.65
E01001695,Greenwich 011A,190788.10
E01003237,Lewisham 037B,190878.96
E01000401,Bexley 013A,190996.94
E01001441,Enfield 006B,191004.03
E01001674,Greenwich 006C,191049.46
E01002243,Havering 013A,191065.72
E01000414,Bexley 016E,191070.67
E01001066,Croydon 034F,191200.00
E01003240,Lewisham 038B,191204.17
E01004142,Sutton 012D,191265.60
E01001446,Enfield 001B,191301.16
E01033742,Greenwich 007F,191311.91
E01000195,Barnet 013A,191349.60
E01001545,Enfield 002B,191465.75
E01001445,Enfield 003B,191545.61
E01002095,Haringey 006D,191575.00
E01003920,Southwark 021B,191610.00
E01003196,Lewisham 029D,191610.42
E01002074,Haringey 012A,191781.25
E01001479,Enfield 023A,191995.46
E01004129,Sutton 002E,192023.83
E01003190,Lewisham 034B,192036.43
E01001320,Ealing 003E,192212.80
E01001676,Greenwich 033C,192219.87
E01001427,Enfield 030C,192228.47
E01000097,Barking and Dagenham 023C,192276.32
E01003048,Lambeth 009B,192299.80
E01000800,Bromley 009E,192359.33
E01001001,Croydon 013A,192407.34
E01004037,Southwark 010B,192492.83
E01002605,Hounslow 026B,192551.06
E01004404,Waltham Forest 014D,192664.26
E01000376,Bexley 019C,192803.26
E01001978,Haringey 011C,192861.46
E01003192,Lewisham 034D,192902.54
E01003606,Newham 022D,192917.37
E01000438,Bexley 007B,192918.28
E01003585,Newham 004B,193004.17
E01003624,Newham 024E,193020.14
E01001447,Enfield 003C,193021.63
E01003243,Lewisham 038D,193044.51
E01003502,Newham 030C,193049.31
E01001685,Greenwich 017D,193079.58
E01002299,Havering 002E,193166.26
E01000374,Bexley 019A,193366.94
E01001740,Hackney 014A,193436.51
E01001048,Croydon 020C,193521.04
E01002429,Hillingdon 019C,193524.03
E01000006,Barking and Dagenham 016A,193595.75
E01001005,Croydon 019A,193688.71
E01001637,Greenwich 009D,193690.17
E01000332,Bexley 005A,194036.18
E01003087,Lambeth 031E,194085.57
E01000378,Bexley 019E,194181.72
E01000113,Barking and Dagenham 002F,194462.14
E01003607,Newham 026D,194540.47
E01001187,Croydon 017E,194667.92
E01002313,Havering 001D,194671.88
E01002306,Havering 003D,194696.88
E01003514,Newham 036C,194701.44
E01032580,Barking and Dagenham 023F,194785.71
E01004078,Sutton 011C,194844.15
E01003349,Lewisham 026B,194850.00
E01002335,Havering 009D,194867.35
E01001186,Croydon 014C,195014.50
E01004096,Sutton 021B,195018.17
E01004427,Waltham Forest 022E,195021.85
E01000108,Barking and Dagenham 010D,195138.45
E01002368,Havering 028A,195153.10
E01004150,Sutton 021C,195171.27
E01002303,Havering 003B,195247.80
E01033729,Greenwich 030E,195289.41
E01001709,Greenwich 004B,195385.71
E01001710,Greenwich 005D,195385.71
E01003319,Lewisham 018A,195475.06
E01001439,Enfield 006A,195501.64
E01001079,Croydon 036B,195527.86
E01002347,Havering 030D,195669.68
E01000796,Bromley 009C,195700.00
E01001480,Enfield 024D,195785.04
E01003522,Newham 018C,195809.53
E01000416,Bexley 002A,195818.02
E01004524,Wandsworth 037D,195911.63
E01001185,Croydon 014B,195972.01
E01003501,Newham 030B,196070.64
E01001012,Croydon 020A,196176.77
E01000044,Barking and Dagenham 016D,196282.43
E01003622,Newham 023D,196442.86
E01000472,Brent 029A,196467.62
E01003571,Newham 008D,196611.93
E01002633,Hounslow 005A,196641.41
E01001371,Ealing 037E,196709.40
E01033590,Redbridge 019H,196800.00
E01000724,Bromley 019D,196825.79
E01002627,Hounslow 004D,196849.75
E01002650,Hounslow 021B,197001.80
E01001461,Enfield 027D,197008.93
E01003608,Newham 028D,197053.68
E01002248,Havering 017C,197275.11
E01001366,Ealing 037A,197471.57
E01002447,Hillingdon 031C,197531.08
E01001112,Croydon 013C,197547.70
E01001008,Croydon 019B,197615.63
E01001571,Greenwich 008A,197642.86
E01000330,Bexley 017D,197757.71
E01001486,Enfield 025C,197821.26
E01001081,Croydon 036D,197837.41
E01001000,Croydon 010B,197887.03
E01003251,Lewisham 002C,197915.94
E01003252,Lewisham 002D,197915.94
E01003553,Newham 009B,197995.83
E01003498,Newham 027B,198069.44
E01001788,Hackney 013C,198070.37
E01003191,Lewisham 034C,198076.30
E01000737,Bromley 010D,198115.64
E01001003,Croydon 010C,198154.16
E01003245,Lewisham 001B,198176.79
E01001548,Enfield 002D,198188.65
E01003601,Newham 028A,198216.18
E01001168,Croydon 024E,198237.04
E01003392,Merton 013D,198286.96
E01001060,Croydon 034C,198537.05
E01000034,Barking and Dagenham 003A,198538.62
E01000039,Barking and Dagenham 003D,198596.12
E01000483,Brent 009D,198682.21
E01002267,Havering 027B,198688.33
E01002540,Hillingdon 020C,198854.13
E01002592,Hounslow 022D,199012.37
E01003536,Newham 023B,199017.76
E01001678,Greenwich 017A,199037.87
E01003390,Merton 018D,199216.80
E01004188,Sutton 004E,199565.53
E01001166,Croydon 024D,199644.38
E01004123,Sutton 002A,199724.24
E01001007,Croydon 016B,199727.53
E01002648,Hounslow 018C,199869.85
E01003236,Lewisham 037A,199922.84
E01003574,Newham 017D,200351.04
E01000603,Brent 021D,200450.00
E01000604,Brent 021E,200450.00
E01000605,Brent 021F,200450.00
E01004467,Waltham Forest 015D,200467.74
E01000375,Bexley 019B,200483.09
E01001636,Greenwich 007E,200492.46
E01004249,Tower Hamlets 018D,200550.00
E01001179,Croydon 016D,200558.71
E01001316,Ealing 003B,200592.31
E01000126,Barnet 026A,200606.94
E01000075,Barking and Dagenham 012D,200697.97
E01004399,Waltham Forest 009B,200859.38
E01001004,Croydon 015A,200928.50
E01003347,Lewisham 030A,201000.00
E01000428,Bexley 027D,201169.57
E01001432,Enfield 033B,201212.96
E01000441,Bexley 007E,201226.74
E01003320,Lewisham 018B,201530.09
E01000392,Bexley 016B,201635.74
E01002380,Havering 012E,201678.00
E01001677,Greenwich 006E,201703.55
E01003733,Redbridge 032E,201725.38
E01002262,Havering 026C,201899.18
E01003722,Redbridge 002B,201992.68
E01003197,Lewisham 029E,202039.26
E01003541,Newham 029D,202150.45
E01004189,Sutton 001E,202185.32
E01002506,Hillingdon 027E,202209.15
E01001621,Greenwich 025B,202392.45
E01004341,Waltham Forest 027F,202404.39
E01003324,Lewisham 020E,202451.13
E01000577,Brent 007E,202453.46
E01001635,Greenwich 007D,202482.78
E01001958,Hammersmith and Fulham 002C,202492.29
E01004162,Sutton 018E,202639.60
E01001466,Enfield 031C,202759.94
E01003387,Merton 014A,202969.31
E01001625,Greenwich 025E,203006.81
E01003973,Southwark 016E,203061.90
E01001148,Croydon 005B,203167.53
E01001517,Enfield 006C,203196.43
E01002071,Haringey 025C,203241.37
E01032569,Croydon 045E,203312.50
E01001572,Greenwich 008B,203355.40
E01000129,Barnet 024D,203471.88
E01001077,Croydon 032C,203475.68
E01000365,Bexley 015C,203648.83
E01000377,Bexley 019D,203653.10
E01001333,Ealing 038A,203684.52
E01001334,Ealing 029C,203684.52
E01000379,Bexley 019F,203693.36
E01003570,Newham 008C,203703.70
E01000036,Barking and Dagenham 010B,203805.56
E01003581,Newham 002B,203857.94
E01002543,Hillingdon 020E,203890.74
E01003537,Newham 024C,203929.76
E01002631,Hounslow 004E,204017.66
E01001730,Hackney 019B,204137.80
E01003412,Merton 014D,204198.73
E01001979,Haringey 011D,204228.60
E01001109,Croydon 013B,204312.08
E01002614,Hounslow 027D,204433.68
E01004126,Sutton 002C,204454.54
E01003593,Newham 027D,204467.93
E01003303,Lewisham 039C,204555.33
E01001790,Hackney 013D,204690.48
E01001505,Enfield 012C,204711.84
E01001188,Croydon 014D,204720.78
E01002490,Hillingdon 030D,204795.02
E01002361,Havering 020C,204825.53
E01002638,Hounslow 005D,204845.10
E01003963,Southwark 016A,204958.83
E01001961,Hammersmith and Fulham 002D,204992.86
E01000783,Bromley 001E,205000.19
E01001546,Enfield 001C,205004.95
E01003912,Southwark 019A,205083.33
E01003542,Newham 024D,205112.59
E01003189,Lewisham 034A,205165.83
E01002448,Hillingdon 032B,205166.85
E01000995,Croydon 009B,205189.24
E01003689,Redbridge 030G,205333.33
E01004183,Sutton 001B,205405.26
E01004185,Sutton 001D,205423.27
E01001573,Greenwich 008C,205466.31
E01003407,Merton 008E,205673.03
E01033000,Hounslow 025F,205735.43
E01003636,Newham 020E,205777.12
E01004178,Sutton 017D,205802.59
E01000334,Bexley 006A,205849.18
E01002392,Hillingdon 020A,205850.00
E01002607,Hounslow 026D,206001.62
E01001712,Greenwich 004D,206049.86
E01001713,Greenwich 005E,206049.86
E01002666,Hounslow 021E,206191.67
E01003723,Redbridge 002C,206259.04
E01003267,Lewisham 031D,206333.96
E01001502,Enfield 018D,206372.22
E01000371,Bexley 014E,206431.42
E01004434,Waltham Forest 026E,206557.56
E01003488,Newham 019A,206571.43
E01003489,Newham 019B,206571.43
E01001053,Croydon 032A,206654.02
E01002606,Hounslow 026C,206690.42
E01001549,Enfield 006D,206765.27
E01000312,Barnet 036E,206781.64
E01001038,Croydon 029C,206851.36
E01000092,Barking and Dagenham 019E,206865.73
E01003484,Newham 032B,206870.61
E01003539,Newham 029B,207041.12
E01004235,Tower Hamlets 008A,207115.75
E01001363,Ealing 026D,207280.09
E01004300,Tower Hamlets 022B,207285.71
E01001651,Greenwich 019C,207310.91
E01000342,Bexley 022B,207315.96
E01003575,Newham 005B,207381.58
E01003576,Newham 002A,207381.58
E01001111,Croydon 010D,207411.24
E01003589,Newham 011E,207446.49
E01004010,Southwark 022D,207446.88
E01032744,Ealing 010G,207618.75
E01004125,Sutton 001A,207649.81
E01001143,Croydon 008B,207651.40
E01001449,Enfield 003E,207662.39
E01003497,Newham 034A,207666.67
E01001675,Greenwich 006D,207751.40
E01003521,Newham 018B,207814.29
E01002672,Hounslow 020D,207829.46
E01002673,Hounslow 020E,207829.46
E01003736,Redbridge 033D,207833.62
E01002326,Havering 005D,207840.79
E01001485,Enfield 025B,207919.19
E01002493,Hillingdon 032E,208300.15
E01000726,Bromley 029B,208369.87
E01000439,Bexley 007C,208421.63
E01000982,Croydon 017C,208494.59
E01001603,Greenwich 031D,208558.48
E01003567,Newham 007D,208616.67
E01003334,Lewisham 033E,208637.47
E01004237,Tower Hamlets 008C,208701.77
E01001153,Croydon 006D,208707.56
E01004288,Tower Hamlets 019D,208836.11
E01002293,Havering 007A,209028.37
E01003346,Lewisham 026A,209062.16
E01003918,Southwark 020D,209074.40
E01004184,Sutton 001C,209339.13
E01003298,Lewisham 039A,209349.40
E01004324,Tower Hamlets 017C,209394.86
E01004339,Waltham Forest 027D,209482.56
E01002081,Haringey 012D,209508.33
E01004453,Waltham Forest 006B,209512.74
E01000354,Bexley 011B,209615.60
E01003592,Newham 022B,209650.31
E01004128,Sutton 002D,209651.76
E01003603,Newham 028B,209723.96
E01000731,Bromley 023C,209801.24
E01000031,Barking and Dagenham 002A,209848.19
E01003726,Redbridge 002D,209866.41
E01001045,Croydon 027C,209895.73
E01000372,Bexley 010C,209915.11
E01000373,Bexley 008A,209915.11
E01003783,Redbridge 029A,210021.92
E01002530,Hillingdon 029D,210039.68
E01001481,Enfield 018C,210188.37
E01002213,Harrow 027D,210190.18
E01002352,Havering 016D,210223.01
E01033585,Newham 034J,210306.30
E01001141,Croydon 008A,210330.22
E01000789,Bromley 032B,210342.98
E01001513,Enfield 012F,210389.10
E01002344,Havering 029B,210440.35
E01004206,Tower Hamlets 013B,210469.49
E01003623,Newham 023E,210641.27
E01002634,Hounslow 005B,210716.37
E01001177,Croydon 016C,210857.64
E01000454,Bexley 013C,210928.06
E01003406,Merton 008D,210938.47
E01000038,Barking and Dagenham 003C,211000.13
E01003507,Newham 031A,211027.03
E01001329,Ealing 009D,211084.44
E01000413,Bexley 018F,211090.19
E01004153,Sutton 021E,211113.64
E01003500,Newham 027C,211239.58
E01002393,Hillingdon 020B,211411.15
E01003300,Lewisham 039B,211412.38
E01003544,Newham 001B,211441.48
E01000163,Barnet 022C,211607.87
E01003481,Newham 035B,211653.57
E01001131,Croydon 018C,211696.49
E01002664,Hounslow 017E,211776.43
E01002665,Hounslow 016E,211776.43
E01003512,Newham 036B,211822.92
E01003758,Redbridge 023D,211861.11
E01003966,Southwark 015B,211967.50
E01003683,Redbridge 030A,211969.11
E01004012,Southwark 019C,212016.64
E01032567,Greenwich 033D,212101.22
E01002372,Havering 027C,212223.62
